topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,8,raw,3.354066393512767e-06,3.354066393512767e-06
n,1,11,raw,3.969046701968182e-06,3.969046701968182e-06
n,1,140,raw,3.37088135893282e-06,3.37088135893282e-06
n,1,166,raw,4.098038971278584e-06,4.098038971278584e-06
n,1,908,raw,2.926076831499813e-06,2.926076831499813e-06
n,1,908,nose,4.855547103943536e-06,4.855547103943536e-06
n,1,928,raw,3.158584377160878e-06,3.158584377160878e-06
n,1,947,raw,3.706345978571335e-06,3.706345978571335e-06
n,1,947,nose,4.805259777640458e-06,4.805259777640458e-06
n,1,969,raw,3.559510787454201e-06,3.559510787454201e-06
n,1,1605,raw,3.6582425764208892e-06,3.6582425764208892e-06
n,1,2346,nose,3.548887889337493e-06,3.548887889337493e-06
n,1,2524,nose,3.458632818365004e-06,3.458632818365004e-06
n,1,2701,raw,3.2758039196778554e-06,3.2758039196778554e-06
n,1,3207,raw,3.5060056688962504e-06,3.5060056688962504e-06
n,1,3234,raw,3.848587311949814e-06,3.848587311949814e-06
n,1,3251,raw,3.799401383730583e-06,3.799401383730583e-06
n,1,3519,raw,3.7018103284935933e-06,3.7018103284935933e-06
n,1,3550,raw,3.1445031254406786e-06,3.1445031254406786e-06
n,1,3566,nose,3.2326327072951244e-06,3.2326327072951244e-06
n,1,3705,raw,3.874733920383733e-06,3.874733920383733e-06
n,1,3757,nose,4.368084319139598e-06,4.368084319139598e-06
n,1,3823,raw,3.7033457829238614e-06,3.7033457829238614e-06
n,1,3875,nose,3.834494236798491e-06,3.834494236798491e-06
n,1,3899,nose,3.8588177631027065e-06,3.8588177631027065e-06
n,1,4169,raw,4.2764163481479045e-06,4.2764163481479045e-06
n,1,4275,raw,4.095065833098488e-06,4.095065833098488e-06
n,1,4324,raw,3.064474412894924e-06,3.064474412894924e-06
n,1,4350,nose,3.80137998945429e-06,3.80137998945429e-06
n,1,4655,raw,3.6636547520174645e-06,3.6636547520174645e-06
n,1,4656,raw,3.6207991342962487e-06,3.6207991342962487e-06
n,1,4748,raw,3.7144141060707625e-06,3.7144141060707625e-06
n,1,4765,raw,4.283027919882443e-06,4.283027919882443e-06
n,1,4798,nose,5.321769094734918e-06,5.321769094734918e-06
n,1,4827,raw,3.449201585681294e-06,3.449201585681294e-06
n,1,4853,nose,3.705135895870626e-06,3.705135895870626e-06
n,1,4979,nose,5.029573458159575e-06,5.029573458159575e-06
n,1,5252,raw,4.184156296105357e-06,4.184156296105357e-06
n,1,5560,nose,4.705674655269831e-06,4.705674655269831e-06
n,1,5628,raw,3.563757445590454e-06,3.563757445590454e-06
n,1,5721,raw,3.758021193789318e-06,3.758021193789318e-06
n,1,5731,raw,3.442902425376815e-06,3.442902425376815e-06
n,1,5815,raw,4.0054446799331345e-06,4.0054446799331345e-06
n,1,5912,raw,3.595077942009084e-06,3.595077942009084e-06
n,1,5981,raw,3.6960830129828537e-06,3.6960830129828537e-06
n,1,5984,raw,3.2536740945943166e-06,3.2536740945943166e-06
