topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,817,raw,1.4563742297468707e-05,1.4563742297468707e-05
n,1,908,nose,1.7973479771171696e-05,1.7973479771171696e-05
n,1,947,nose,1.8382936104899272e-05,1.8382936104899272e-05
n,1,969,nose,1.7760474293027073e-05,1.7760474293027073e-05
n,1,1890,nose,1.4432139323616866e-05,1.4432139323616866e-05
n,1,2346,nose,1.6895915905479342e-05,1.6895915905479342e-05
n,1,2524,nose,1.5840467312955298e-05,1.5840467312955298e-05
n,1,3477,nose,1.5829089534236118e-05,1.5829089534236118e-05
n,1,3566,nose,1.6820255041238852e-05,1.6820255041238852e-05
n,1,3637,raw,1.4363333320943639e-05,1.4363333320943639e-05
n,1,3757,nose,1.6131572920130566e-05,1.6131572920130566e-05
n,1,3823,raw,1.5386756786028855e-05,1.5386756786028855e-05
n,1,3866,nose,2.2600352167501114e-05,2.2600352167501114e-05
n,1,3875,nose,1.574570342199877e-05,1.574570342199877e-05
n,1,3899,nose,1.557688483444508e-05,1.557688483444508e-05
n,1,4320,raw,1.4848205864836928e-05,1.4848205864836928e-05
n,1,4324,raw,1.277110004593851e-05,1.277110004593851e-05
n,1,4798,nose,1.5724956028861925e-05,1.5724956028861925e-05
n,1,4853,raw,1.5199544577626511e-05,1.5199544577626511e-05
n,1,4853,nose,1.447869999537943e-05,1.447869999537943e-05
n,1,4872,raw,1.5379553587990813e-05,1.5379553587990813e-05
n,1,4979,nose,1.7150212443084456e-05,1.7150212443084456e-05
n,1,5005,nose,1.469395647291094e-05,1.469395647291094e-05
n,1,5052,raw,1.529143082734663e-05,1.529143082734663e-05
n,1,5208,raw,1.4486150575976353e-05,1.4486150575976353e-05
n,1,5359,raw,1.39121902975603e-05,1.39121902975603e-05
n,1,5394,raw,1.5242174413288012e-05,1.5242174413288012e-05
n,1,5560,nose,1.6449361282866448e-05,1.6449361282866448e-05
n,1,5805,nose,1.594220520928502e-05,1.594220520928502e-05
n,1,5815,nose,1.6230738765443675e-05,1.6230738765443675e-05
n,1,6008,nose,1.5596702723996714e-05,1.5596702723996714e-05
n,1,6021,nose,2.11789520108141e-05,2.11789520108141e-05
n,1,6039,nose,1.6116151527967304e-05,1.6116151527967304e-05
n,1,6119,nose,1.7203681636601686e-05,1.7203681636601686e-05
n,1,6353,nose,1.4418422324524727e-05,1.4418422324524727e-05
n,1,6513,raw,1.4926221410860308e-05,1.4926221410860308e-05
n,1,6513,nose,1.4726257177244406e-05,1.4726257177244406e-05
n,1,6857,raw,1.4743905012437608e-05,1.4743905012437608e-05
n,1,6877,nose,2.1219004338490777e-05,2.1219004338490777e-05
n,1,6941,nose,1.5727860954939388e-05,1.5727860954939388e-05
n,1,7481,raw,1.4322919014375657e-05,1.4322919014375657e-05
n,1,7544,raw,1.4782143807678949e-05,1.4782143807678949e-05
n,1,7557,raw,1.3393842891673557e-05,1.3393842891673557e-05
n,1,7823,nose,1.5893298041191883e-05,1.5893298041191883e-05
n,1,7838,raw,1.3972845408716239e-05,1.3972845408716239e-05
n,1,7863,raw,1.5079779586812947e-05,1.5079779586812947e-05
n,1,8087,nose,1.5196759704849683e-05,1.5196759704849683e-05
n,1,8143,nose,1.5436229659826495e-05,1.5436229659826495e-05
n,1,8230,nose,1.520866499049589e-05,1.520866499049589e-05
n,1,8255,raw,1.322439311479684e-05,1.322439311479684e-05
n,1,8309,raw,1.5186064047156833e-05,1.5186064047156833e-05
n,1,8309,nose,1.5341538528446108e-05,1.5341538528446108e-05
n,1,8333,raw,1.4915267456672154e-05,1.4915267456672154e-05
n,1,8405,nose,1.6761323422542773e-05,1.6761323422542773e-05
n,1,8516,raw,1.4231648492568638e-05,1.4231648492568638e-05
n,1,8614,raw,1.4643193026131485e-05,1.4643193026131485e-05
n,1,8754,nose,1.5874098608037457e-05,1.5874098608037457e-05
n,1,8837,nose,1.66088248079177e-05,1.66088248079177e-05
n,1,8874,nose,1.607636113476474e-05,1.607636113476474e-05
n,1,8911,nose,1.519553188700229e-05,1.519553188700229e-05
n,1,8965,nose,2.371589835092891e-05,2.371589835092891e-05
n,1,9047,nose,1.677191539783962e-05,1.677191539783962e-05
n,1,9900,raw,1.4643575923400931e-05,1.4643575923400931e-05
n,1,9997,raw,1.3672472960024606e-05,1.3672472960024606e-05
n,1,10130,nose,1.6293643056997098e-05,1.6293643056997098e-05
n,1,10140,nose,1.529484688944649e-05,1.529484688944649e-05
n,1,10239,nose,1.6066176613094285e-05,1.6066176613094285e-05
n,1,10344,raw,1.4263713637774345e-05,1.4263713637774345e-05
n,1,10347,raw,1.4556247151631396e-05,1.4556247151631396e-05
n,1,10349,raw,1.4015848137205467e-05,1.4015848137205467e-05
n,1,10637,raw,1.5424649973283522e-05,1.5424649973283522e-05
n,1,10645,raw,1.5068396351125557e-05,1.5068396351125557e-05
n,1,10737,nose,1.5617863027728163e-05,1.5617863027728163e-05
n,1,10796,raw,1.314645487582311e-05,1.314645487582311e-05
n,1,10923,nose,1.4402730812435038e-05,1.4402730812435038e-05
n,1,11126,nose,1.5666922990931198e-05,1.5666922990931198e-05
n,1,11353,nose,1.457728649256751e-05,1.457728649256751e-05
n,1,11480,raw,1.4307911442301702e-05,1.4307911442301702e-05
n,1,11825,raw,1.3854512872057967e-05,1.3854512872057967e-05
n,1,11957,raw,1.2573555977724027e-05,1.2573555977724027e-05
n,1,11957,nose,1.4430764167627785e-05,1.4430764167627785e-05
n,1,12011,raw,1.4435136108659208e-05,1.4435136108659208e-05
n,1,12056,raw,1.3773434147879016e-05,1.3773434147879016e-05
n,1,12188,raw,1.2042864909744821e-05,1.2042864909744821e-05
n,1,12280,nose,1.5864274246268906e-05,1.5864274246268906e-05
n,1,12884,nose,1.401412646373501e-05,1.401412646373501e-05
n,1,13012,raw,1.4131363059277646e-05,1.4131363059277646e-05
n,1,13134,raw,1.459879604226444e-05,1.459879604226444e-05
n,1,13168,raw,1.4135255696601234e-05,1.4135255696601234e-05
n,1,13371,raw,1.2455328032956459e-05,1.2455328032956459e-05
n,1,13565,nose,1.6043173673097044e-05,1.6043173673097044e-05
n,1,13923,nose,1.8309345250600018e-05,1.8309345250600018e-05
n,1,13985,raw,1.3921656318416353e-05,1.3921656318416353e-05
n,1,14360,nose,2.316235622856766e-05,2.316235622856766e-05
n,1,14559,nose,1.622990566829685e-05,1.622990566829685e-05
n,1,14648,nose,1.7187727280543186e-05,1.7187727280543186e-05
n,1,14698,raw,1.3378754374571145e-05,1.3378754374571145e-05
n,1,14718,raw,1.4325523807201535e-05,1.4325523807201535e-05
n,1,14769,raw,1.3009166650590487e-05,1.3009166650590487e-05
n,1,14782,raw,1.22059846034972e-05,1.22059846034972e-05
n,1,14861,raw,1.3560762454289943e-05,1.3560762454289943e-05
n,1,14869,raw,1.4336146705318242e-05,1.4336146705318242e-05
n,1,15019,raw,1.2954630619788077e-05,1.2954630619788077e-05
n,1,15417,nose,1.4485303836409003e-05,1.4485303836409003e-05
n,1,15889,nose,1.4311317499959841e-05,1.4311317499959841e-05
n,1,16125,nose,1.777293800842017e-05,1.777293800842017e-05
n,1,16170,nose,1.6515221432200633e-05,1.6515221432200633e-05
n,1,16323,nose,1.6192992916330695e-05,1.6192992916330695e-05
n,1,16369,nose,1.4892885701556224e-05,1.4892885701556224e-05
n,1,16958,nose,1.727983726595994e-05,1.727983726595994e-05
n,1,17449,nose,2.1674841264029965e-05,2.1674841264029965e-05
n,1,18226,nose,1.4650596313003916e-05,1.4650596313003916e-05
