run,sample_idx,topology_perturb,sample_type,solve_time,converged
1,8,n,raw,7.807158946990967,false
1,11,n,raw,7.4954681396484375,false
1,20,n,raw,5.998712062835693,false
1,46,n,raw,7.833472967147827,false
1,53,n,raw,6.399068117141724,false
1,80,n,raw,7.497658967971802,false
1,113,n,raw,6.88605809211731,false
1,140,n,raw,6.6001410484313965,false
1,144,n,raw,7.849521160125732,false
1,148,n,raw,7.036731958389282,false
1,166,n,raw,5.945775032043457,false
1,182,n,raw,6.928067922592163,false
1,203,n,raw,5.8323118686676025,false
1,210,n,raw,7.343368053436279,false
1,242,n,raw,5.97222900390625,false
1,258,n,raw,5.831367015838623,false
1,285,n,raw,8.15982699394226,false
1,329,n,raw,5.7520129680633545,false
1,418,n,raw,6.20306396484375,false
1,479,n,raw,5.64967679977417,false
1,489,n,raw,7.86663293838501,false
1,498,n,raw,5.530752897262573,false
1,521,n,raw,5.458965063095093,false
1,639,n,raw,6.205104827880859,false
1,699,n,raw,6.259464979171753,false
1,817,n,raw,0.3539390563964844,true
1,908,n,raw,5.7368481159210205,false
1,928,n,raw,6.774809837341309,false
1,935,n,raw,5.56610107421875,false
1,947,n,raw,5.550426006317139,false
1,969,n,raw,6.13672399520874,false
1,1063,n,raw,5.4077308177948,false
1,1074,n,raw,5.510376930236816,false
1,1090,n,raw,5.435115814208984,false
1,1096,n,raw,5.379971981048584,false
1,1156,n,raw,6.329406976699829,false
1,1182,n,raw,5.883557081222534,false
1,1192,n,raw,6.655758857727051,false
1,1273,n,raw,5.397549152374268,false
1,1322,n,raw,5.8602070808410645,false
1,1349,n,raw,5.951623916625977,false
1,1352,n,raw,6.744822025299072,false
1,1425,n,raw,7.670899868011475,false
1,1428,n,raw,8.346473932266235,false
1,1436,n,raw,7.6832170486450195,false
1,1454,n,raw,7.464820861816406,false
1,1500,n,raw,7.197364091873169,false
1,1505,n,raw,7.811357021331787,false
1,1556,n,raw,7.420757055282593,false
1,1595,n,raw,7.7498228549957275,false
1,1605,n,raw,7.1842200756073,false
1,1630,n,raw,7.1340649127960205,false
1,1661,n,raw,7.225078821182251,false
1,1667,n,raw,7.432826042175293,false
1,1681,n,raw,7.037470102310181,false
1,1700,n,raw,7.405226945877075,false
1,1705,n,raw,6.495362043380737,false
1,1718,n,raw,6.56596302986145,false
1,1724,n,raw,6.513538122177124,false
1,1764,n,raw,7.412021160125732,false
1,1772,n,raw,7.232792139053345,false
1,1773,n,raw,6.489529848098755,false
1,1778,n,raw,7.204215049743652,false
1,1789,n,raw,7.329996824264526,false
1,1790,n,raw,7.172948122024536,false
1,1793,n,raw,7.044003963470459,false
1,1890,n,raw,7.899300813674927,false
1,1967,n,raw,6.70742392539978,false
1,1984,n,raw,6.403188943862915,false
1,2035,n,raw,6.245689868927002,false
1,2083,n,raw,7.23495888710022,false
1,2104,n,raw,6.974942922592163,false
1,2115,n,raw,6.749130964279175,false
1,2125,n,raw,6.480326890945435,false
1,2159,n,raw,6.340281009674072,false
1,2177,n,raw,7.243694067001343,false
1,2196,n,raw,7.6850690841674805,false
1,2214,n,raw,6.908647060394287,false
1,2225,n,raw,6.110865831375122,false
1,2235,n,raw,6.15386700630188,false
1,2251,n,raw,7.70308518409729,false
1,2255,n,raw,11.20986008644104,false
1,2258,n,raw,7.425081014633179,false
1,2287,n,raw,8.015558004379272,false
1,2312,n,raw,6.858906984329224,false
1,2329,n,raw,5.926775932312012,false
1,2346,n,raw,6.265907049179077,false
1,2422,n,raw,6.68786883354187,false
1,2444,n,raw,6.279821872711182,false
1,2486,n,raw,8.01449990272522,false
1,2500,n,raw,6.169647932052612,false
1,2524,n,raw,5.957720994949341,false
1,2539,n,raw,5.909284830093384,false
1,2591,n,raw,8.180286884307861,false
1,2624,n,raw,9.446589946746826,false
1,2638,n,raw,5.6441850662231445,false
1,2644,n,raw,6.885637998580933,false
1,2659,n,raw,6.974074125289917,false
1,2693,n,raw,6.0333850383758545,false
1,2694,n,raw,5.649033069610596,false
1,2701,n,raw,6.593357801437378,false
1,2783,n,raw,6.319670915603638,false
1,2842,n,raw,6.1940929889678955,false
1,2848,n,raw,7.203171968460083,false
1,2892,n,raw,5.578675031661987,false
1,2908,n,raw,7.531955003738403,false
1,2936,n,raw,5.373566150665283,false
1,3043,n,raw,6.043827056884766,false
1,3065,n,raw,5.951637029647827,false
1,3069,n,raw,6.209366083145142,false
1,3086,n,raw,5.354695081710815,false
1,3207,n,raw,5.3027050495147705,false
1,3234,n,raw,5.581223011016846,false
1,3251,n,raw,6.605870008468628,false
1,3449,n,raw,5.999322175979614,false
1,3477,n,raw,5.4527599811553955,false
1,3483,n,raw,8.647253036499023,false
1,3519,n,raw,8.20805311203003,false
1,3546,n,raw,7.506973028182983,false
1,3550,n,raw,6.909748077392578,false
1,3566,n,raw,7.439806938171387,false
1,3637,n,raw,0.04318690299987793,true
1,3670,n,raw,7.286035060882568,false
1,3705,n,raw,9.167901992797852,false
1,3715,n,raw,7.614477872848511,false
1,3721,n,raw,7.806524991989136,false
1,3734,n,raw,7.674695014953613,false
1,3757,n,raw,6.830541133880615,false
1,3759,n,raw,7.38666296005249,false
1,3779,n,raw,8.15043592453003,false
1,3796,n,raw,7.304605007171631,false
1,3823,n,raw,0.04976511001586914,true
1,3856,n,raw,6.944602966308594,false
1,3866,n,raw,7.069055080413818,false
1,3870,n,raw,6.97012996673584,false
1,3875,n,raw,8.590134859085083,false
1,3899,n,raw,6.5693089962005615,false
1,3904,n,raw,7.212898015975952,false
1,3911,n,raw,8.419829845428467,false
1,3925,n,raw,7.9518210887908936,false
1,3980,n,raw,8.284493923187256,false
