run,sample_idx,topology_perturb,sample_type,solve_time,converged
1,8,n,raw,0.003206968307495117,true
1,11,n,raw,0.7408690452575684,false
1,20,n,raw,0.004868030548095703,true
1,46,n,raw,0.0032410621643066406,true
1,53,n,raw,0.003236055374145508,true
1,80,n,raw,0.003738880157470703,true
1,113,n,raw,0.004090070724487305,true
1,140,n,raw,0.003933906555175781,true
1,144,n,raw,0.0032231807708740234,true
1,148,n,raw,0.003924846649169922,true
1,166,n,raw,0.003222942352294922,true
1,182,n,raw,0.0037970542907714844,true
1,203,n,raw,0.0032529830932617188,true
1,210,n,raw,0.0037729740142822266,true
1,242,n,raw,0.00393986701965332,true
1,258,n,raw,0.003259897232055664,true
1,285,n,raw,0.0032508373260498047,true
1,329,n,raw,0.003407001495361328,true
1,418,n,raw,0.003240823745727539,true
1,479,n,raw,0.0037899017333984375,true
1,489,n,raw,0.0033910274505615234,true
1,498,n,raw,0.003231048583984375,true
1,521,n,raw,0.003255128860473633,true
1,639,n,raw,0.009790897369384766,true
1,699,n,raw,0.009734153747558594,true
1,817,n,raw,0.6078989505767822,false
1,908,n,raw,0.0033998489379882812,true
1,928,n,raw,0.003246784210205078,true
1,935,n,raw,0.0032339096069335938,true
1,947,n,raw,0.0032520294189453125,true
1,969,n,raw,0.869926929473877,false
1,1063,n,raw,0.003737926483154297,true
1,1074,n,raw,0.5556349754333496,false
1,1090,n,raw,0.5086629390716553,false
1,1096,n,raw,0.003738880157470703,true
1,1156,n,raw,0.0033419132232666016,true
1,1182,n,raw,0.8948650360107422,false
1,1192,n,raw,0.0032720565795898438,true
1,1273,n,raw,0.0032389163970947266,true
1,1322,n,raw,0.004355907440185547,true
1,1349,n,raw,0.536020040512085,false
1,1352,n,raw,0.004575014114379883,true
1,1425,n,raw,0.5478630065917969,false
1,1428,n,raw,0.0040018558502197266,true
1,1436,n,raw,0.0033478736877441406,true
1,1454,n,raw,0.008708000183105469,true
1,1500,n,raw,0.0033860206604003906,true
1,1505,n,raw,0.0034639835357666016,true
1,1556,n,raw,0.0032548904418945312,true
1,1595,n,raw,0.0032918453216552734,true
1,1605,n,raw,0.003287076950073242,true
1,1630,n,raw,0.0032567977905273438,true
1,1661,n,raw,0.0032660961151123047,true
1,1667,n,raw,0.004417896270751953,true
1,1681,n,raw,0.0034379959106445312,true
1,1700,n,raw,0.003983974456787109,true
1,1705,n,raw,0.0038771629333496094,true
1,1718,n,raw,0.0040090084075927734,true
1,1724,n,raw,0.0039081573486328125,true
1,1764,n,raw,0.003972053527832031,true
1,1772,n,raw,0.003278970718383789,true
1,1773,n,raw,0.0033020973205566406,true
1,1778,n,raw,0.003314971923828125,true
1,1789,n,raw,0.5363559722900391,false
1,1790,n,raw,0.004389047622680664,true
1,1793,n,raw,0.003824949264526367,true
1,1890,n,raw,0.0032939910888671875,true
1,1967,n,raw,0.0034291744232177734,true
1,1984,n,raw,0.0032720565795898438,true
1,2035,n,raw,0.0034339427947998047,true
1,2083,n,raw,0.003977060317993164,true
1,2104,n,raw,0.003248929977416992,true
1,2115,n,raw,0.003438234329223633,true
1,2125,n,raw,0.003267049789428711,true
1,2159,n,raw,0.003267049789428711,true
1,2177,n,raw,0.0040130615234375,true
1,2196,n,raw,0.004057884216308594,true
1,2214,n,raw,0.0033011436462402344,true
1,2225,n,raw,0.0033049583435058594,true
1,2235,n,raw,0.0035600662231445312,true
1,2251,n,raw,0.0038270950317382812,true
1,2255,n,raw,0.0032820701599121094,true
