topo,run,sample_idx,sample_type,pbl_mean,pbl_max
n,1,1778,raw,1.1652974762910162e-06,1.1652974762910162e-06
n,1,1790,raw,1.0245005341857905e-06,1.0245005341857905e-06
n,1,1793,raw,1.004122509584704e-06,1.004122509584704e-06
n,1,1890,raw,1.0786750408442458e-06,1.0786750408442458e-06
n,1,1890,nose,1.1826518857560586e-06,1.1826518857560586e-06
n,1,1967,raw,1.1185412631675717e-06,1.1185412631675717e-06
n,1,1984,raw,1.0305690238965326e-06,1.0305690238965326e-06
n,1,2035,raw,9.694585969555192e-07,9.694585969555192e-07
n,1,2083,raw,1.1477294492578949e-06,1.1477294492578949e-06
n,1,2104,raw,1.0471451332705328e-06,1.0471451332705328e-06
n,1,2115,raw,1.0294922958564712e-06,1.0294922958564712e-06
n,1,2125,raw,8.9394688984612e-07,8.9394688984612e-07
n,1,2159,raw,1.1820339977930416e-06,1.1820339977930416e-06
n,1,2177,raw,1.2606375321411178e-06,1.2606375321411178e-06
n,1,2196,raw,1.0452154128870461e-06,1.0452154128870461e-06
n,1,2214,raw,1.1486185940157156e-06,1.1486185940157156e-06
n,1,2225,raw,9.625027814763598e-07,9.625027814763598e-07
n,1,2235,raw,1.1134785609101527e-06,1.1134785609101527e-06
n,1,2251,raw,1.1721513146767393e-06,1.1721513146767393e-06
n,1,2255,raw,1.1863752433782793e-06,1.1863752433782793e-06
n,1,2258,raw,1.1375032045179978e-06,1.1375032045179978e-06
n,1,2287,raw,9.852886933003902e-07,9.852886933003902e-07
n,1,2312,raw,1.0885556775974692e-06,1.0885556775974692e-06
n,1,2329,raw,1.1307608929200796e-06,1.1307608929200796e-06
n,1,2346,raw,9.57291717895714e-07,9.57291717895714e-07
n,1,2346,nose,1.2870856380686746e-06,1.2870856380686746e-06
n,1,2422,raw,1.2338821306911996e-06,1.2338821306911996e-06
n,1,2444,raw,9.788635679797153e-07,9.788635679797153e-07
n,1,2486,raw,8.458367801722488e-07,8.458367801722488e-07
n,1,2500,raw,1.238534650838119e-06,1.238534650838119e-06
n,1,2524,raw,8.900570378500561e-07,8.900570378500561e-07
n,1,2524,nose,1.3023067140238709e-06,1.3023067140238709e-06
n,1,2539,raw,9.439920631848508e-07,9.439920631848508e-07
n,1,2591,raw,1.2142097602918511e-06,1.2142097602918511e-06
n,1,2624,raw,1.1244244433328277e-06,1.1244244433328277e-06
n,1,2638,raw,1.2246972573848325e-06,1.2246972573848325e-06
n,1,2644,raw,1.1125907803943846e-06,1.1125907803943846e-06
n,1,2659,raw,1.0483813639439177e-06,1.0483813639439177e-06
n,1,2693,raw,1.0454467656018096e-06,1.0454467656018096e-06
n,1,2694,raw,1.1478781516416348e-06,1.1478781516416348e-06
n,1,2701,raw,1.0531188081586151e-06,1.0531188081586151e-06
n,1,2783,raw,1.0638387948347372e-06,1.0638387948347372e-06
n,1,2842,raw,1.0585160907794489e-06,1.0585160907794489e-06
n,1,2848,raw,1.384800953019294e-06,1.384800953019294e-06
n,1,2892,raw,1.0154980145671288e-06,1.0154980145671288e-06
n,1,2908,raw,1.1406330031604739e-06,1.1406330031604739e-06
n,1,2936,raw,1.1468077900644857e-06,1.1468077900644857e-06
n,1,3043,raw,1.0394686569270561e-06,1.0394686569270561e-06
n,1,3065,raw,1.0651360753399786e-06,1.0651360753399786e-06
n,1,3069,raw,9.119333981288946e-07,9.119333981288946e-07
n,1,3086,raw,1.1873165703946142e-06,1.1873165703946142e-06
n,1,3207,raw,1.185722339869244e-06,1.185722339869244e-06
n,1,3234,raw,1.1834763427032158e-06,1.1834763427032158e-06
n,1,3251,raw,1.088580688701768e-06,1.088580688701768e-06
n,1,3449,raw,1.293788614020741e-06,1.293788614020741e-06
n,1,3477,raw,9.290290563512826e-07,9.290290563512826e-07
n,1,3477,nose,1.019874957819411e-06,1.019874957819411e-06
